sim,fy,region,country,type,clients
1,FY20,Latin America,Venezuela,clients_m,4002.831886784592
1,FY20,Latin America,Venezuela,clients_total,12882.229494022667
1,FY21,Latin America,Colombia,edu_f,8989.011890155958
1,FY21,Latin America,Colombia,edu_m,6141.184761345319
1,FY21,Latin America,Colombia,edu_total,15130.196651501275
1,FY21,Latin America,Colombia,health_f,55271.262004838194
1,FY21,Latin America,Colombia,health_m,32907.98346018049
1,FY21,Latin America,Colombia,health_total,88179.24546501868
1,FY21,Latin America,Colombia,power_f,0.9884061853360988
1,FY21,Latin America,Colombia,power_m,260.4495682740512
1,FY21,Latin America,Colombia,power_total,261.4379744593873
1,FY21,Latin America,Colombia,safety_f,16866.56359837571
1,FY21,Latin America,Colombia,safety_m,5332.603667163453
1,FY21,Latin America,Colombia,safety_total,22199.167265539163
1,FY21,Latin America,Colombia,wb_f,6171.752838501936
1,FY21,Latin America,Colombia,wb_m,1137.8379118536584
1,FY21,Latin America,Colombia,wb_total,7309.590750355595
1,FY21,Latin America,Colombia,clients_f,69909.34500905997
1,FY21,Latin America,Colombia,clients_m,38677.544485964296
1,FY21,Latin America,Colombia,clients_total,108586.88949502428
1,FY21,Latin America,Ecuador,edu_f,0
1,FY21,Latin America,Ecuador,edu_m,0
1,FY21,Latin America,Ecuador,edu_total,0
1,FY21,Latin America,Ecuador,health_f,0
1,FY21,Latin America,Ecuador,health_m,0
1,FY21,Latin America,Ecuador,health_total,0
1,FY21,Latin America,Ecuador,power_f,0
1,FY21,Latin America,Ecuador,power_m,0
1,FY21,Latin America,Ecuador,power_total,0
1,FY21,Latin America,Ecuador,safety_f,276.3968015386763
1,FY21,Latin America,Ecuador,safety_m,99.46980204469942
1,FY21,Latin America,Ecuador,safety_total,375.8666035833757
1,FY21,Latin America,Ecuador,wb_f,678.0942571126786
1,FY21,Latin America,Ecuador,wb_m,339.6567886249264
1,FY21,Latin America,Ecuador,wb_total,1017.751045737605
1,FY21,Latin America,Ecuador,clients_f,828.8344593390793
1,FY21,Latin America,Ecuador,clients_m,393.9052385159984
1,FY21,Latin America,Ecuador,clients_total,1222.7396978550778
1,FY21,Latin America,Mexico,edu_f,0
1,FY21,Latin America,Mexico,edu_m,0
1,FY21,Latin America,Mexico,edu_total,0
1,FY21,Latin America,Mexico,health_f,1876.3289236028315
1,FY21,Latin America,Mexico,health_m,339.44178631035163
1,FY21,Latin America,Mexico,health_total,2215.770709913183
1,FY21,Latin America,Mexico,power_f,4884.101090445514
1,FY21,Latin America,Mexico,power_m,5833.935417288812
1,FY21,Latin America,Mexico,power_total,10718.036507734329
1,FY21,Latin America,Mexico,safety_f,203.40831382782275
1,FY21,Latin America,Mexico,safety_m,190.9635734985584
1,FY21,Latin America,Mexico,safety_total,394.3718873263812
1,FY21,Latin America,Mexico,wb_f,4138.417127429837
1,FY21,Latin America,Mexico,wb_m,4195.69213522575
1,FY21,Latin America,Mexico,wb_total,8334.109262655587
1,FY21,Latin America,Mexico,clients_f,7038.55645785164
1,FY21,Latin America,Mexico,clients_m,7393.338774874588
1,FY21,Latin America,Mexico,clients_total,14431.895232726229
1,FY21,Latin America,NCA,edu_f,0
1,FY21,Latin America,NCA,edu_m,0
1,FY21,Latin America,NCA,edu_total,0
1,FY21,Latin America,NCA,health_f,0
1,FY21,Latin America,NCA,health_m,0
1,FY21,Latin America,NCA,health_total,0
1,FY21,Latin America,NCA,power_f,1296.8892835641695
1,FY21,Latin America,NCA,power_m,903.7103165509506
1,FY21,Latin America,NCA,power_total,2200.59960011512
1,FY21,Latin America,NCA,safety_f,666.8899663113095
1,FY21,Latin America,NCA,safety_m,43.594528732273815
1,FY21,Latin America,NCA,safety_total,710.4844950435834
1,FY21,Latin America,NCA,wb_f,598.3890898821269
1,FY21,Latin America,NCA,wb_m,181.86594765694772
1,FY21,Latin America,NCA,wb_total,780.2550375390746
1,FY21,Latin America,NCA,clients_f,2129.153394973733
1,FY21,Latin America,NCA,clients_m,1051.606560770591
1,FY21,Latin America,NCA,clients_total,3180.759955744324
1,FY21,Latin America,Venezuela,edu_f,3187.071704523175
1,FY21,Latin America,Venezuela,edu_m,2815.326851911884
1,FY21,Latin America,Venezuela,edu_total,6002.398556435059
1,FY21,Latin America,Venezuela,health_f,18683.891390446148
1,FY21,Latin America,Venezuela,health_m,15582.551426534286
1,FY21,Latin America,Venezuela,health_total,34266.44281698043
1,FY21,Latin America,Venezuela,power_f,0
1,FY21,Latin America,Venezuela,power_m,0
1,FY21,Latin America,Venezuela,power_total,0
1,FY21,Latin America,Venezuela,safety_f,5065.85745461872
1,FY21,Latin America,Venezuela,safety_m,524.712457940211
1,FY21,Latin America,Venezuela,safety_total,5590.569912558931
1,FY21,Latin America,Venezuela,wb_f,1054.155373885815
1,FY21,Latin America,Venezuela,wb_m,660.3565310849092
1,FY21,Latin America,Venezuela,wb_total,1714.511904970724
1,FY21,Latin America,Venezuela,clients_f,23952.859851514484
1,FY21,Latin America,Venezuela,clients_m,17836.22424272772
1,FY21,Latin America,Venezuela,clients_total,41789.08409424219
1,FY22,Latin America,Colombia,edu_f,8763.480017110138
1,FY22,Latin America,Colombia,edu_m,5807.118392332962
1,FY22,Latin America,Colombia,edu_total,14570.5984094431
1,FY22,Latin America,Colombia,health_f,99480.07841875088
1,FY22,Latin America,Colombia,health_m,49789.66331070299
1,FY22,Latin America,Colombia,health_total,149269.74172945385
1,FY22,Latin America,Colombia,power_f,105.30246278019044
1,FY22,Latin America,Colombia,power_m,61.271605144896014
1,FY22,Latin America,Colombia,power_total,166.57406792508647
1,FY22,Latin America,Colombia,safety_f,40341.31533689519
1,FY22,Latin America,Colombia,safety_m,13809.286795715569
1,FY22,Latin America,Colombia,safety_total,54150.60213261076
1,FY22,Latin America,Colombia,wb_f,9707.79081922959
1,FY22,Latin America,Colombia,wb_m,1551.818034592398
1,FY22,Latin America,Colombia,wb_total,11259.608853821988
1,FY22,Latin America,Colombia,clients_f,120019.51939271767
1,FY22,Latin America,Colombia,clients_m,57169.64380936797
1,FY22,Latin America,Colombia,clients_total,177189.16320208565
1,FY22,Latin America,Ecuador,edu_f,206.1832562678388
1,FY22,Latin America,Ecuador,edu_m,107.75617906733052
1,FY22,Latin America,Ecuador,edu_total,313.9394353351693
1,FY22,Latin America,Ecuador,health_f,35351.64516641502
1,FY22,Latin America,Ecuador,health_m,20673.408064345174
1,FY22,Latin America,Ecuador,health_total,56025.0532307602
1,FY22,Latin America,Ecuador,power_f,21.91174455768387
1,FY22,Latin America,Ecuador,power_m,7.887282180050373
1,FY22,Latin America,Ecuador,power_total,29.799026737734245
1,FY22,Latin America,Ecuador,safety_f,520.4184896396741
1,FY22,Latin America,Ecuador,safety_m,261.42214946911105
1,FY22,Latin America,Ecuador,safety_total,781.8406391087851
1,FY22,Latin America,Ecuador,wb_f,5539.853665997514
1,FY22,Latin America,Ecuador,wb_m,2824.7900053535895
1,FY22,Latin America,Ecuador,wb_total,8364.643671351103
1,FY22,Latin America,Ecuador,clients_f,39801.36280366426
1,FY22,Latin America,Ecuador,clients_m,22939.23445488046
1,FY22,Latin America,Ecuador,clients_total,62740.59725854472
1,FY22,Latin America,El Salvador,edu_f,0
1,FY22,Latin America,El Salvador,edu_m,0
1,FY22,Latin America,El Salvador,edu_total,0
1,FY22,Latin America,El Salvador,health_f,0
1,FY22,Latin America,El Salvador,health_m,0
1,FY22,Latin America,El Salvador,health_total,0
1,FY22,Latin America,El Salvador,power_f,10387.220858084533
1,FY22,Latin America,El Salvador,power_m,20038.086262680423
1,FY22,Latin America,El Salvador,power_total,30425.307120764955
1,FY22,Latin America,El Salvador,safety_f,4649.977439147214
1,FY22,Latin America,El Salvador,safety_m,1127.4251895107514
1,FY22,Latin America,El Salvador,safety_total,5777.402628657965
1,FY22,Latin America,El Salvador,wb_f,1258.4909185424497
1,FY22,Latin America,El Salvador,wb_m,665.7994081077841
1,FY22,Latin America,El Salvador,wb_total,1924.2903266502335
1,FY22,Latin America,El Salvador,clients_f,13693.758860085883
1,FY22,Latin America,El Salvador,clients_m,21030.831595697593
1,FY22,Latin America,El Salvador,clients_total,34724.59045578347
1,FY22,Latin America,Guatemala,edu_f,0
1,FY22,Latin America,Guatemala,edu_m,0
1,FY22,Latin America,Guatemala,edu_total,0
1,FY22,Latin America,Guatemala,health_f,0
1,FY22,Latin America,Guatemala,health_m,0
1,FY22,Latin America,Guatemala,health_total,0
1,FY22,Latin America,Guatemala,power_f,230.2974336793534
1,FY22,Latin America,Guatemala,power_m,326.6975879426908
1,FY22,Latin America,Guatemala,power_total,556.9950216220442
1,FY22,Latin America,Guatemala,safety_f,2179.1258605351577
1,FY22,Latin America,Guatemala,safety_m,1077.1838533830555
1,FY22,Latin America,Guatemala,safety_total,3256.3097139182137
1,FY22,Latin America,Guatemala,wb_f,444.49960448634465
1,FY22,Latin America,Guatemala,wb_m,23.20099452687171
1,FY22,Latin America,Guatemala,wb_total,467.70059901321633
1,FY22,Latin America,Guatemala,clients_f,2467.339699296108
1,FY22,Latin America,Guatemala,clients_m,1212.5148950065914
1,FY22,Latin America,Guatemala,clients_total,3679.8545943026993
1,FY22,Latin America,Honduras,edu_f,0
1,FY22,Latin America,Honduras,edu_m,0
1,FY22,Latin America,Honduras,edu_total,0
1,FY22,Latin America,Honduras,health_f,0
1,FY22,Latin America,Honduras,health_m,0
1,FY22,Latin America,Honduras,health_total,0
1,FY22,Latin America,Honduras,power_f,76.52262618115121
1,FY22,Latin America,Honduras,power_m,28.5352303289906
1,FY22,Latin America,Honduras,power_total,105.05785651014182
1,FY22,Latin America,Honduras,safety_f,14830.379539681377
1,FY22,Latin America,Honduras,safety_m,520.2599890913131
1,FY22,Latin America,Honduras,safety_total,15350.639528772688
1,FY22,Latin America,Honduras,wb_f,108.45435999743042
1,FY22,Latin America,Honduras,wb_m,48.88595906464569
1,FY22,Latin America,Honduras,wb_total,157.3403190620761
1,FY22,Latin America,Honduras,clients_f,14887.95776565639
1,FY22,Latin America,Honduras,clients_m,544.5456739102481
1,FY22,Latin America,Honduras,clients_total,15432.503439566635
1,FY22,Latin America,Mexico,edu_f,0
1,FY22,Latin America,Mexico,edu_m,0
1,FY22,Latin America,Mexico,edu_total,0
1,FY22,Latin America,Mexico,health_f,2702.4916786345993
1,FY22,Latin America,Mexico,health_m,1356.693319005274
1,FY22,Latin America,Mexico,health_total,4059.1849976398735
1,FY22,Latin America,Mexico,power_f,9907.038488119102
1,FY22,Latin America,Mexico,power_m,11497.92628922849
1,FY22,Latin America,Mexico,power_total,21404.96477734759
1,FY22,Latin America,Mexico,safety_f,779.2109799676391
1,FY22,Latin America,Mexico,safety_m,639.4452704621007
1,FY22,Latin America,Mexico,safety_total,1418.65625042974
1,FY22,Latin America,Mexico,wb_f,1464.026507554928
1,FY22,Latin America,Mexico,wb_m,2046.678450836358
1,FY22,Latin America,Mexico,wb_total,3510.704958391286
1,FY22,Latin America,Mexico,clients_f,12459.068530284463
1,FY22,Latin America,Mexico,clients_m,13661.790149827297
1,FY22,Latin America,Mexico,clients_total,26120.858680111756
1,FY22,Latin America,Peru,edu_f,0
1,FY22,Latin America,Peru,edu_m,0
1,FY22,Latin America,Peru,edu_total,0
1,FY22,Latin America,Peru,health_f,8766.560994170963
1,FY22,Latin America,Peru,health_m,4197.852482020819
1,FY22,Latin America,Peru,health_total,12964.41347619178
1,FY22,Latin America,Peru,power_f,0
1,FY22,Latin America,Peru,power_m,0
1,FY22,Latin America,Peru,power_total,0
1,FY22,Latin America,Peru,safety_f,530.0404282218683
1,FY22,Latin America,Peru,safety_m,9.032859236071271
1,FY22,Latin America,Peru,safety_total,539.0732874579396
1,FY22,Latin America,Peru,wb_f,3548.868589797502
1,FY22,Latin America,Peru,wb_m,566.6611917589092
1,FY22,Latin America,Peru,wb_total,4115.529781556411
1,FY22,Latin America,Peru,clients_f,11521.646385103606
1,FY22,Latin America,Peru,clients_m,4585.843186635695
1,FY22,Latin America,Peru,clients_total,16107.489571739296
1,FY22,Latin America,Venezuela,edu_f,209.03670050260587
1,FY22,Latin America,Venezuela,edu_m,84.91257719760956
1,FY22,Latin America,Venezuela,edu_total,293.9492777002154
1,FY22,Latin America,Venezuela,health_f,63922.414175961334
1,FY22,Latin America,Venezuela,health_m,46408.57212639082
1,FY22,Latin America,Venezuela,health_total,110330.98630235216
1,FY22,Latin America,Venezuela,power_f,0
1,FY22,Latin America,Venezuela,power_m,0
1,FY22,Latin America,Venezuela,power_total,0
1,FY22,Latin America,Venezuela,safety_f,8617.578180556598
1,FY22,Latin America,Venezuela,safety_m,4714.627970475372
1,FY22,Latin America,Venezuela,safety_total,13332.20615103197
1,FY22,Latin America,Venezuela,wb_f,6365.350147374694
1,FY22,Latin America,Venezuela,wb_m,3327.1317235269207
1,FY22,Latin America,Venezuela,wb_total,9692.481870901614
1,FY22,Latin America,Venezuela,clients_f,73502.905454594
1,FY22,Latin America,Venezuela,clients_m,51536.13616211299
1,FY22,Latin America,Venezuela,clients_total,125039.041616707
1,FY23,Latin America,Colombia,edu_f,1583.8904721505376
1,FY23,Latin America,Colombia,edu_m,1492.8892332558255
1,FY23,Latin America,Colombia,edu_total,3076.779705406363
1,FY23,Latin America,Colombia,health_f,88070.43644933359
1,FY23,Latin America,Colombia,health_m,31968.655768436045
1,FY23,Latin America,Colombia,health_total,120039.09221776963
1,FY23,Latin America,Colombia,power_f,812.3364013973737
1,FY23,Latin America,Colombia,power_m,1002.9791888850812
1,FY23,Latin America,Colombia,power_total,1815.315590282455
1,FY23,Latin America,Colombia,safety_f,38123.997375154744
1,FY23,Latin America,Colombia,safety_m,15592.338873541676
1,FY23,Latin America,Colombia,safety_total,53716.33624869642
1,FY23,Latin America,Colombia,wb_f,13907.543727207178
1,FY23,Latin America,Colombia,wb_m,4193.381458943051
1,FY23,Latin America,Colombia,wb_total,18100.925186150227
1,FY23,Latin America,Colombia,clients_f,118258.09593328796
1,FY23,Latin America,Colombia,clients_m,44471.04384576683
1,FY23,Latin America,Colombia,clients_total,162729.1397790548
1,FY23,Latin America,Ecuador,edu_f,0
1,FY23,Latin America,Ecuador,edu_m,0
1,FY23,Latin America,Ecuador,edu_total,0
1,FY23,Latin America,Ecuador,health_f,12548.813976281826
1,FY23,Latin America,Ecuador,health_m,4443.587563764234
1,FY23,Latin America,Ecuador,health_total,16992.40154004606
1,FY23,Latin America,Ecuador,power_f,34.03185875015066
1,FY23,Latin America,Ecuador,power_m,57.99296107839021
1,FY23,Latin America,Ecuador,power_total,92.02481982854088
1,FY23,Latin America,Ecuador,safety_f,1974.0704292021571
1,FY23,Latin America,Ecuador,safety_m,276.23626589003516
1,FY23,Latin America,Ecuador,safety_total,2250.306695092192
1,FY23,Latin America,Ecuador,wb_f,304.2357011123112
1,FY23,Latin America,Ecuador,wb_m,89.3133414240576
1,FY23,Latin America,Ecuador,wb_total,393.5490425363688
1,FY23,Latin America,Ecuador,clients_f,13348.88873479156
1,FY23,Latin America,Ecuador,clients_m,4594.003231909431
1,FY23,Latin America,Ecuador,clients_total,17942.89196670099
1,FY23,Latin America,El Salvador,edu_f,0
1,FY23,Latin America,El Salvador,edu_m,0
1,FY23,Latin America,El Salvador,edu_total,0
1,FY23,Latin America,El Salvador,health_f,0
1,FY23,Latin America,El Salvador,health_m,0
1,FY23,Latin America,El Salvador,health_total,0
1,FY23,Latin America,El Salvador,power_f,48712.70567249203
1,FY23,Latin America,El Salvador,power_m,24424.881637585033
1,FY23,Latin America,El Salvador,power_total,73137.58731007707
1,FY23,Latin America,El Salvador,safety_f,4466.104109754627
1,FY23,Latin America,El Salvador,safety_m,1410.3590835025489
1,FY23,Latin America,El Salvador,safety_total,5876.463193257176
1,FY23,Latin America,El Salvador,wb_f,2925.5599502687273
1,FY23,Latin America,El Salvador,wb_m,1639.2433411383756
1,FY23,Latin America,El Salvador,wb_total,4564.803291407103
1,FY23,Latin America,El Salvador,clients_f,51221.72449261016
1,FY23,Latin America,El Salvador,clients_m,25469.71577424529
1,FY23,Latin America,El Salvador,clients_total,76691.44026685547
1,FY23,Latin America,Guatemala,edu_f,0
1,FY23,Latin America,Guatemala,edu_m,0
1,FY23,Latin America,Guatemala,edu_total,0
1,FY23,Latin America,Guatemala,health_f,0
1,FY23,Latin America,Guatemala,health_m,0
1,FY23,Latin America,Guatemala,health_total,0
1,FY23,Latin America,Guatemala,power_f,6776.128134732667
1,FY23,Latin America,Guatemala,power_m,3339.0830519046604
1,FY23,Latin America,Guatemala,power_total,10115.211186637329
1,FY23,Latin America,Guatemala,safety_f,3649.579558304579
1,FY23,Latin America,Guatemala,safety_m,1896.926022650469
1,FY23,Latin America,Guatemala,safety_total,5546.505580955048
1,FY23,Latin America,Guatemala,wb_f,1372.764992352319
1,FY23,Latin America,Guatemala,wb_m,602.9106921573152
1,FY23,Latin America,Guatemala,wb_total,1975.6756845096345
1,FY23,Latin America,Guatemala,clients_f,9566.462537789728
1,FY23,Latin America,Guatemala,clients_m,4720.137562105781
1,FY23,Latin America,Guatemala,clients_total,14286.600099895511
1,FY23,Latin America,Honduras,edu_f,0
1,FY23,Latin America,Honduras,edu_m,0
1,FY23,Latin America,Honduras,edu_total,0
1,FY23,Latin America,Honduras,health_f,0
1,FY23,Latin America,Honduras,health_m,0
1,FY23,Latin America,Honduras,health_total,0
1,FY23,Latin America,Honduras,power_f,4044.7889793873665
1,FY23,Latin America,Honduras,power_m,2544.8457075937667
1,FY23,Latin America,Honduras,power_total,6589.634686981133
1,FY23,Latin America,Honduras,safety_f,4092.8175307351826
1,FY23,Latin America,Honduras,safety_m,1012.4792920350636
1,FY23,Latin America,Honduras,safety_total,5105.296822770246
1,FY23,Latin America,Honduras,wb_f,396.7697043801531
1,FY23,Latin America,Honduras,wb_m,74.9167055906656
1,FY23,Latin America,Honduras,wb_total,471.68640997081866
1,FY23,Latin America,Honduras,clients_f,6456.416139288211
1,FY23,Latin America,Honduras,clients_m,3132.0328060138563
1,FY23,Latin America,Honduras,clients_total,9588.448945302069
1,FY23,Latin America,Mexico,edu_f,0
1,FY23,Latin America,Mexico,edu_m,0
1,FY23,Latin America,Mexico,edu_total,0
1,FY23,Latin America,Mexico,health_f,1048.9838485913035
1,FY23,Latin America,Mexico,health_m,2145.4636393339947
1,FY23,Latin America,Mexico,health_total,3194.4474879252984
1,FY23,Latin America,Mexico,power_f,5718.4700092467665
1,FY23,Latin America,Mexico,power_m,5531.310479230926
1,FY23,Latin America,Mexico,power_total,11249.780488477692
1,FY23,Latin America,Mexico,safety_f,479.4296737581877
1,FY23,Latin America,Mexico,safety_m,240.5918283386519
1,FY23,Latin America,Mexico,safety_total,720.0215020968396
1,FY23,Latin America,Mexico,wb_f,2090.02836396784
1,FY23,Latin America,Mexico,wb_m,2660.400751275133
1,FY23,Latin America,Mexico,wb_total,4750.429115242973
1,FY23,Latin America,Mexico,clients_f,7088.216008629138
1,FY23,Latin America,Mexico,clients_m,7406.5438637328625
1,FY23,Latin America,Mexico,clients_total,14494.759872362
1,FY23,Latin America,Peru,edu_f,0
1,FY23,Latin America,Peru,edu_m,0
1,FY23,Latin America,Peru,edu_total,0
1,FY23,Latin America,Peru,health_f,24045.523080153573
