region,country,gender,sector,FY19,FY20,FY21,FY22,FY23,FY24
Latin America,Venezuela,total,Education,NA,NA,8083,3707,1851,5107
Latin America,Venezuela,female,Education,NA,NA,4848,2043,1325,3599
Latin America,Venezuela,male,Education,NA,NA,3234,1665,526,1508
Latin America,Venezuela,total,Economic Recovery & Development,NA,NA,698,5274,NA,NA
Latin America,Venezuela,female,Economic Recovery & Development,NA,NA,399,3069,NA,NA
Latin America,Venezuela,male,Economic Recovery & Development,NA,NA,300,2206,NA,NA
Latin America,Venezuela,total,Environmental Health,NA,NA,1560,8758,NA,NA
Latin America,Venezuela,female,Environmental Health,NA,NA,929,5579,NA,NA
Latin America,Venezuela,male,Environmental Health,NA,NA,631,3179,NA,NA
Latin America,Venezuela,total,Primary Healthcare,NA,NA,1659,12136,16273,13056
Latin America,Venezuela,female,Primary Healthcare,NA,NA,1067,7607,12155,9025
Latin America,Venezuela,male,Primary Healthcare,NA,NA,591,4530,4118,4031
Latin America,Colombia,total,Nutrition,NA,NA,NA,379,NA,NA
Latin America,Colombia,female,Nutrition,NA,NA,NA,211,NA,NA
Latin America,Colombia,male,Nutrition,NA,NA,NA,169,NA,NA
Latin America,Colombia,total,Protection & Rule of Law,NA,NA,NA,30157,406,NA
Latin America,Colombia,female,Protection & Rule of Law,NA,NA,NA,22897,304,NA
Latin America,Colombia,male,Protection & Rule of Law,NA,NA,NA,7260,102,NA
Latin America,Ecuador,total,Education,NA,NA,NA,337,744,5648
Latin America,Ecuador,female,Education,NA,NA,NA,230,511,3975
Latin America,Ecuador,male,Education,NA,NA,NA,106,233,1673
Latin America,Ecuador,total,Economic Recovery & Development,NA,NA,NA,7320,527,NA
Latin America,Ecuador,female,Economic Recovery & Development,NA,NA,NA,4459,325,NA
Latin America,Ecuador,male,Economic Recovery & Development,NA,NA,NA,2862,202,NA
Latin America,Ecuador,total,Governance,NA,NA,NA,30,NA,153
Latin America,Ecuador,female,Governance,NA,NA,NA,22,NA,142
Latin America,Ecuador,male,Governance,NA,NA,NA,8,NA,11
Latin America,Ecuador,total,Primary Healthcare,NA,NA,NA,7415,3077,4426
Latin America,Ecuador,female,Primary Healthcare,NA,NA,NA,5251,2251,3049
Latin America,Ecuador,male,Primary Healthcare,NA,NA,NA,2163,825,1378
Latin America,Ecuador,total,Total Health Clients,NA,NA,NA,61093,18575,24254
Latin America,Ecuador,female,Total Health Clients,NA,NA,NA,41383,14245,16940
Latin America,Ecuador,male,Total Health Clients,NA,NA,NA,19709,4330,7315
Latin America,El Salvador,total,Economic Recovery & Development,NA,NA,NA,7753,7274,11786
Latin America,El Salvador,female,Economic Recovery & Development,NA,NA,NA,4166,4047,6257
Latin America,El Salvador,male,Economic Recovery & Development,NA,NA,NA,3587,3227,5529
Latin America,El Salvador,total,Protection & Rule of Law,NA,NA,NA,28652,74216,95159
Latin America,El Salvador,female,Protection & Rule of Law,NA,NA,NA,10939,49418,62582
Latin America,El Salvador,male,Protection & Rule of Law,NA,NA,NA,17713,24798,32576
Latin America,El Salvador,total,Women's Protection & Empowerment,NA,NA,NA,5145,3229,5728
Latin America,El Salvador,female,Women's Protection & Empowerment,NA,NA,NA,4091,2783,5246
Latin America,El Salvador,male,Women's Protection & Empowerment,NA,NA,NA,1054,446,482
Latin America,Guatemala,total,Economic Recovery & Development,NA,NA,NA,1382,5801,13831
Latin America,Guatemala,female,Economic Recovery & Development,NA,NA,NA,889,3266,8374
Latin America,Guatemala,male,Economic Recovery & Development,NA,NA,NA,492,2535,5456
Latin America,Guatemala,total,Protection & Rule of Law,NA,NA,NA,512,11029,7583
Latin America,Guatemala,female,Protection & Rule of Law,NA,NA,NA,319,7244,4799
Latin America,Guatemala,male,Protection & Rule of Law,NA,NA,NA,192,3784,2785
Latin America,Guatemala,total,Women's Protection & Empowerment,NA,NA,NA,3055,2634,10922
Latin America,Guatemala,female,Women's Protection & Empowerment,NA,NA,NA,2097,2118,8270
Latin America,Guatemala,male,Women's Protection & Empowerment,NA,NA,NA,957,516,2652
Latin America,Honduras,total,Economic Recovery & Development,NA,NA,NA,514,1748,5855
Latin America,Honduras,female,Economic Recovery & Development,NA,NA,NA,292,1031,3640
Latin America,Honduras,male,Economic Recovery & Development,NA,NA,NA,222,717,2215
Latin America,Honduras,total,Protection & Rule of Law,NA,NA,NA,208,6932,4714
Latin America,Honduras,female,Protection & Rule of Law,NA,NA,NA,149,4366,3115
Latin America,Honduras,male,Protection & Rule of Law,NA,NA,NA,60,2566,1599
Latin America,Honduras,total,Women's Protection & Empowerment,NA,NA,NA,13762,3022,9159
Latin America,Honduras,female,Women's Protection & Empowerment,NA,NA,NA,13252,2763,7388
Latin America,Honduras,male,Women's Protection & Empowerment,NA,NA,NA,510,259,1771
Latin America,Mexico,total,Education,NA,NA,NA,704,NA,NA
Latin America,Mexico,female,Education,NA,NA,NA,354,NA,NA
Latin America,Mexico,male,Education,NA,NA,NA,350,NA,NA
Latin America,Peru,total,Economic Recovery & Development,NA,NA,NA,1308,2346,7841
Latin America,Peru,female,Economic Recovery & Development,NA,NA,NA,783,920,4527
Latin America,Peru,male,Economic Recovery & Development,NA,NA,NA,525,1426,3313
Latin America,Peru,total,Environmental Health,NA,NA,NA,5869,NA,NA
Latin America,Peru,female,Environmental Health,NA,NA,NA,4661,NA,NA
Latin America,Peru,male,Environmental Health,NA,NA,NA,1207,NA,NA
Latin America,Peru,total,Primary Healthcare,NA,NA,NA,2537,18780,8181
Latin America,Peru,female,Primary Healthcare,NA,NA,NA,1793,13385,5639
Latin America,Peru,male,Primary Healthcare,NA,NA,NA,744,5395,2542
Latin America,Peru,total,Sexual & Reproductive Health,NA,NA,NA,130,700,174
Latin America,Peru,female,Sexual & Reproductive Health,NA,NA,NA,85,700,174
